Data-Component data-source Data-Source
Indicator indicates Intrusion-Set
Url related-to Malware
Indicator based-on Url
Indicator indicates Malware
Indicator based-on Domain-Name
Indicator indicates Attack-Pattern
Data-Component detects Attack-Pattern
Artifact related-to Indicator
IPv4-Addr located-at Country
Url related-to Intrusion-Set
Indicator based-on StixFile
Domain-Name resolves-to Domain-Name
Malware targets Region
Malware uses Attack-Pattern
Indicator based-on IPv4-Addr
Malware targets Sector
Indicator based-on Hostname
IPv4-Addr located-at Region
Domain-Name resolves-to IPv4-Addr
StixFile related-to Malware
City located-at Region
Intrusion-Set uses Attack-Pattern
Indicator based-on Email-Addr
City located-at Country
Text related-to StixFile
Indicator indicates Tool
Malware targets Vulnerability
IPv4-Addr located-at City
Organization part-of Sector
Malware targets Country
StixFile related-to Intrusion-Set
Software has Vulnerability
Attack-Pattern targets Vulnerability
Text related-to Intrusion-Set
Course-Of-Action mitigates Attack-Pattern
IPv4-Addr related-to Malware
Campaign uses Attack-Pattern
Hostname resolves-to IPv4-Addr
Text related-to Hostname
Domain-Name related-to Text
IPv4-Addr related-to Organization
Domain-Name related-to Malware
Intrusion-Set uses Malware
IPv4-Addr related-to Intrusion-Set
Domain-Name related-to Intrusion-Set
Tool uses Attack-Pattern
Email-Addr related-to Malware
Url related-to Tool
Intrusion-Set targets Region
IPv4-Addr belongs-to Autonomous-System
Text related-to IPv4-Addr
Intrusion-Set targets Sector
Intrusion-Set targets Country
Indicator based-on X509-Certificate
Attack-Pattern subtechnique-of Attack-Pattern
Intrusion-Set targets Vulnerability
Indicator based-on Mutex
Hostname related-to Text
Text related-to Text
Indicator based-on Text
Intrusion-Set uses Tool
Hostname related-to Intrusion-Set
Software related-to Organization
Campaign uses Malware
Text related-to Domain-Name
Domain-Name related-to Tool
Hostname related-to Malware
Country located-at Region
StixFile related-to Tool
Text related-to Indicator
Text related-to Malware
Windows-Registry-Key related-to Intrusion-Set
IPv4-Addr related-to Tool
Text related-to Url
Region located-at Region
Indicator based-on Cryptocurrency-Wallet
Sector part-of Sector
Email-Message related-to Intrusion-Set
Campaign attributed-to Intrusion-Set
Indicator based-on Windows-Registry-Key
Tool targets Region
Tool targets Sector
Email-Addr related-to Intrusion-Set
Indicator based-on Email-Message
Campaign uses Tool
Tool targets Country
Text related-to Email-Addr
Text related-to Email-Message
Indicator based-on IPv6-Addr
Tool targets Vulnerability
Infrastructure located-at Region
Organization related-to Software
Hostname related-to Tool
Indicator related-to Indicator
Infrastructure located-at Country
Indicator indicates Campaign
Incident related-to Organization
Malware downloads StixFile
Malware uses Infrastructure
